transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-38-01_tr_001,Minister of Agriculture and Plantation Industries,cabinetMinister,Agriculture and Agrarian Insurance Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_002,Minister of Agriculture and Plantation Industries,cabinetMinister,Ceylon Fertilizer Company Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_003,Minister of Agriculture and Plantation Industries,cabinetMinister,Coconut Cultivation Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_004,Minister of Agriculture and Plantation Industries,cabinetMinister,Coconut Development Authority,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_005,Minister of Agriculture and Plantation Industries,cabinetMinister,Coconut Research Institute,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_006,Minister of Agriculture and Plantation Industries,cabinetMinister,Colombo Commercial Fertilizer Company,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_007,Minister of Agriculture and Plantation Industries,cabinetMinister,Department of Agrarian Development,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_008,Minister of Agriculture and Plantation Industries,cabinetMinister,Department of Agriculture,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_009,Minister of Agriculture and Plantation Industries,cabinetMinister,Department of Animal Production and Health,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_010,Minister of Agriculture and Plantation Industries,cabinetMinister,Department of Cinnamon Development,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_011,Minister of Agriculture and Plantation Industries,cabinetMinister,Department of Export Agriculture,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_012,Minister of Agriculture and Plantation Industries,cabinetMinister,Department of Rubber Development,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_013,Minister of Agriculture and Plantation Industries,cabinetMinister,Hector Kobbekaduwa Agrarian Research and Training Institute,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_014,Minister of Agriculture and Plantation Industries,cabinetMinister,Institute of Post-Harvest Technology,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_015,Minister of Agriculture and Plantation Industries,cabinetMinister,Kapruka Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_016,Minister of Agriculture and Plantation Industries,cabinetMinister,Kithul Development Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_017,Minister of Agriculture and Plantation Industries,cabinetMinister,Mahaweli Livestock Enterprise Limited,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_018,Minister of Agriculture and Plantation Industries,cabinetMinister,Milco (Pvt.) Ltd.,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_019,Minister of Agriculture and Plantation Industries,cabinetMinister,National Agricultural Diversification and Settlement Authority,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_020,Minister of Agriculture and Plantation Industries,cabinetMinister,National Fertilizer Secretariat,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_021,Minister of Agriculture and Plantation Industries,cabinetMinister,National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board),department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_022,Minister of Agriculture and Plantation Industries,cabinetMinister,National Institute of Plantation Management,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_023,Minister of Agriculture and Plantation Industries,cabinetMinister,National Livestock Development Board and affiliated companies,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_024,Minister of Agriculture and Plantation Industries,cabinetMinister,Paddy Marketing Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_025,Minister of Agriculture and Plantation Industries,cabinetMinister,Palmyrah Development Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_026,Minister of Agriculture and Plantation Industries,cabinetMinister,Regional Economic Centres,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_027,Minister of Agriculture and Plantation Industries,cabinetMinister,Rubber Research Institute,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_028,Minister of Agriculture and Plantation Industries,cabinetMinister,Spices and Allied Products Marketing Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_029,Minister of Agriculture and Plantation Industries,cabinetMinister,Sri Lanka Cashew Corporation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_030,Minister of Agriculture and Plantation Industries,cabinetMinister,Sri Lanka Council for Agricultural Research Policy,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_031,Minister of Agriculture and Plantation Industries,cabinetMinister,Sri Lanka Rubber Manufacturing and Export Corporation,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_032,Minister of Agriculture and Plantation Industries,cabinetMinister,Sri Lanka Tea Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_033,Minister of Agriculture and Plantation Industries,cabinetMinister,Tea Research Institute,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_034,Minister of Agriculture and Plantation Industries,cabinetMinister,Tea Shakthi Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_035,Minister of Agriculture and Plantation Industries,cabinetMinister,Tea Small Holdings Development Authority,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_036,Minister of Agriculture and Plantation Industries,cabinetMinister,Tea and Rubber Estates (Control and Fragmentation) Board,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_037,Minister of Agriculture and Plantation Industries,cabinetMinister,Thurusaviya Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_038,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Amaradeva Aesthetic and Research Centre,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_039,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Buddhasasana Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_040,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Buddhist Renaissance Fund,department,AS_DEPARTMENT,2024-09-25
2403-38-01_tr_041,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Central Cultural Fund,department,AS_DEPARTMENT,2024-09-25
