transaction_id,old,new,type,date
2276-64_tr_80,"State Minister of Coconut, Kithul and Palmyrah Cultivation Promotion and Related Industrial Product Manufacturing and Export Diversification",State Minister of Plantation,stateMinister,2022-04-22
2276-64_tr_29,State Minister of Regional Cooperation,State Minister of Foreign Affairs,stateMinister,2022-04-22
2276-64_tr_82,State Minister of Rural and Divisional Drinking Water Supply Projects Development,State Minister of Water Supply,stateMinister,2022-04-22
2276-64_tr_67,State Minister of Canals and Common Infrastructure Development in Settlements in Mahaweli Zones,State Minister of Mahaweli,stateMinister,2022-04-22
2276-64_tr_62,"State Minister of Promoting the Production & Regulating the Supply of Organic Fertilizer, and Paddy & Grains, Organic Foods, Vegetables, Fruits, Chillies, Onion and Potato Cultivation Promoting, Seed Production and Advanced Technology Agriculture",State Minister of Promoting the Production of Organic fertilizer and Advanced Technology Agriculture,stateMinister,2022-04-22
2276-64_tr_66,"State Minister of Tanks, Reservoirs and Irrigation Development Related to Rural Paddy Fields",State Minister of Irrigation,stateMinister,2022-04-22
2276-64_tr_87,Minister of Rural and School Sports Infrastructure Improvement,State Minister of Youth and Sports,cabinetMinister,2022-04-22
2276-64_tr_61,"State Minister of Indigenous Medicine Promotion, Rural and Ayurvedic Hospitals Development and Community Health",State Minister of Indigenous Medicine,stateMinister,2022-04-22
2276-64_tr_89,State Minister of Aviation and Export Zones Development,State Minister of Tourism,stateMinister,2022-04-22
2276-64_tr_70,"State Minister of Ornamental Fish, Inland Fish and Prawn Farming, Fishery Harbour Development, Multiday Fishing Activities and Fish Exports",State Minister of Fisheries,stateMinister,2022-04-22
2276-64_tr_64,"State Minister of Livestock, Farm Promotion and Dairy and Egg Related Industries",State Minister of Livestock,stateMinister,2022-04-22
2276-64_tr_33,"State Minister of Skills Development, Vocational Education, Research and Innovation",State Minister of Education,stateMinister,2022-04-22
2276-64_tr_65,State Minister of Backward Rural Areas Development and Promotion of Domestic Animal Husbandry and Minor Economic Crop Cultivation,State Minister of Rural Economic Crop Cultivation and Promotion,stateMinister,2022-04-22
2276-64_tr_08,"State Minister of National Heritage, Performing Arts and Rural Arts Promotion",State Minister of Cultural & Performing Arts,stateMinister,2022-04-22
2276-64_tr_85,State Minister of Rural Roads and other Infrastructure,State Minister of Rural Roads and Development,stateMinister,2022-04-22
2276-64_tr_101,"State Minister of Batik, Handloom and Local Apparel Products",State Minister of Textile Industry & Local Apparel Products Promotion,stateMinister,2022-04-22
2276-64_tr_86,"State Minister of Vehicle Regulation, Bus Transport Services and Train Compartments and Motor Car Industry",State Minister of Transport,stateMinister,2022-04-22
2276-64_tr_11,"State Minister of Urban Development, Waste Disposal and Community Cleanliness",State Minister of Urban Development,stateMinister,2022-04-22
2276-64_tr_99,"State Minister of Rattan, Brass, Pottery, Furniture and Rural Industrial Promotion",State Minister of Industries,stateMinister,2022-04-22
2277-53_tr_48,"State Minister of Education Reforms, Open Universities and Distance Learning Promotion",State Minister of Education Reforms,stateMinister,2022-04-28
