transaction_id,old,new,type,date
2281-41_tr_57,Sri Lanka Fisheries Corporation,Ceylon Fisheries Corporation,department,2022-05-27
2281-41_tr_89,Minister of Transport,Minister of Transport and Highways,cabinetMinister,2022-05-27
2281-41_tr_98,Private Medical Regulatory Council,Private Health Services Regulatory Council,department,2022-05-27
2281-41_tr_126,Minister of Justice,"Minister of Justice, Prisons Affairs and Constitutional Reforms",cabinetMinister,2022-05-27
2281-41_tr_170,Gem and Jewellery Research Institute,Gem and Jewellery Research and Training Institute,department,2022-05-27
2281-41_tr_192,Ape Gama - Excluding Office Premises,Ape Gama,department,2022-05-27
2281-41_tr_202,Minister of Power,Minister of Power & Energy,cabinetMinister,2022-05-27
2281-41_tr_211,Minister of Youth and Sports,Minister of Sports and Youth Affairs,cabinetMinister,2022-05-27
2281-41_tr_221,Sri Lanka Foreign Employment Agency,Foreign Employment Agency of Sri Lanka (Pvt.) Ltd.,department,2022-05-27
2281-41_tr_225,Sri Lanka State Trading (General) Corporation,Lanka General Trading Company Ltd,department,2022-05-27
2281-41_tr_42,Pulses and Grain Research and Production Authority,"Pulse Crops, Grain Research and Production Authority",department,2022-05-27
2281-41_tr_44,Protection of Children-National Trust Fund,Protection of Children National Trust Fund Institutions coming under the Revival (Removal) of Underperforming Enterprises or Underutilized Assets Act vested to the Secretary to the Treasury,department,2022-05-27
2281-41_tr_139,"Tea, Rubber and Coconut Estates (Control and Fragmentation) Board",Tea and Rubber Estates (Control and Fragmentation) Board,department,2022-05-27
