transaction_id,old_parent,old_president_name,new_parent,new_president_name,child,type,date
2289-34_tr_01,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Investment Promotion,cabinetMinister,2022-07-20
2289-34_tr_02,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Technology,cabinetMinister,2022-07-20
2289-34_tr_03,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,"Minister of Women, Child Affairs and Social Empowerment",cabinetMinister,2022-07-20
2289-34_tr_04,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,"Minister of Trade, Commerce and Food Security",cabinetMinister,2022-07-20
2289-34_tr_05,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Labour and Foreign Employment,cabinetMinister,2022-07-20
2289-34_tr_06,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Sports and Youth Affairs,cabinetMinister,2022-07-20
2289-34_tr_07,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Power & Energy,cabinetMinister,2022-07-20
2289-34_tr_08,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Tourism and Lands,cabinetMinister,2022-07-20
2289-34_tr_09,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,"Minister of Justice, Prisons Affairs and Constitutional Reforms",cabinetMinister,2022-07-20
2289-34_tr_10,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Transport and Highways,cabinetMinister,2022-07-20
2289-34_tr_11,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,"Minister of Ports, Shipping and Aviation",cabinetMinister,2022-07-20
2289-34_tr_12,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,2022-07-20
2289-34_tr_13,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,State Minister of Highways,stateMinister,2022-07-20
2289-34_tr_14,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Plantation Industries,cabinetMinister,2022-07-20
2289-34_tr_15,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",cabinetMinister,2022-07-20
2289-34_tr_16,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Wildlife and Forest Resources Conservation,cabinetMinister,2022-07-20
2289-34_tr_17,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Foreign Affairs,cabinetMinister,2022-07-20
2289-34_tr_19,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Public Security,cabinetMinister,2022-07-20
2289-34_tr_20,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Mass Media,cabinetMinister,2022-07-20
2289-34_tr_21,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Industries,cabinetMinister,2022-07-20
2289-34_tr_22,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Water Supply,cabinetMinister,2022-07-20
2289-34_tr_23,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Fisheries,cabinetMinister,2022-07-20
2289-34_tr_24,Gotabaya Rajapaksa,Gotabaya Rajapaksa,Ranil Wickremesinghe,Ranil Wickremesinghe,Minister of Irrigation,cabinetMinister,2022-07-20
