transaction_id,parent,parent_type,child,child_type,rel_type,date
2289-43_tr_01,Minister of Agriculture,cabinetMinister,Agriculture and Agrarian Insurance Board,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_02,Minister of Agriculture,cabinetMinister,Ceylon Fertilizer Company Ltd.,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_03,Minister of Agriculture,cabinetMinister,Colombo Commercial Fertilizer Company,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_04,Minister of Agriculture,cabinetMinister,Department of Agrarian Development,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_05,Minister of Agriculture,cabinetMinister,Department of Agriculture,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_06,Minister of Agriculture,cabinetMinister,Department of Animal Production and Health,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_07,Minister of Agriculture,cabinetMinister,Hector Kobbekaduwa Agrarian Research and Training Institute,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_08,Minister of Agriculture,cabinetMinister,Institute of Post-Harvest Technology,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_09,Minister of Agriculture,cabinetMinister,Lanka Phosphate Company Ltd.,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_10,Minister of Agriculture,cabinetMinister,Mahaweli Livestock Enterprise Limited,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_11,Minister of Agriculture,cabinetMinister,Milco (Pvt.) Ltd.,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_12,Minister of Agriculture,cabinetMinister,National Agricultural Diversification and Settlement Authority,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_13,Minister of Agriculture,cabinetMinister,National Fertilizer Secretariat,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_14,Minister of Agriculture,cabinetMinister,National Hunger Eradication Campaign Board of Sri Lanka (National Food Promotion Board),department,AS_DEPARTMENT,2022-07-22
2289-43_tr_15,Minister of Agriculture,cabinetMinister,National Livestock Development Board and affiliated companies,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_16,Minister of Agriculture,cabinetMinister,Paddy Marketing Board,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_17,Minister of Agriculture,cabinetMinister,Sri Lanka Council for Agricultural Research Policy,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_18,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Ape Gama,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_19,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Buddhasasana Fund,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_20,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Buddhist Renaissance Fund,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_21,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Central Cultural Fund,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_22,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Department of Archaeology,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_23,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Department of Buddhist Affairs,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_24,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Department of Christian Religious Affairs,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_25,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Department of Cultural Affairs,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_26,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Department of Hindu Religious and Cultural Affairs,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_27,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Department of Muslim Religious and Cultural Affairs,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_28,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Department of National Archives,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_29,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Department of National Museums,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_30,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Department of Public Trustee,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_31,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Galle Heritage Foundation,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_32,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,Gramodaya Folk Arts Centre,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_33,"Minister of Buddha Sasana, Religious and Cultural Affairs",cabinetMinister,J.R. Jayawardene Centre,department,AS_DEPARTMENT,2022-07-22
