transaction_id,old_parent,new_parent,child,type,date,old_president_name,new_president_name
2401-18_tr_01,State Minister of Power and Energy,Minister of Power and Energy,Sri Lanka Atomic Energy Regulatory Council,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_02,State Minister of Power and Energy,Minister of Power and Energy,Sri Lanka Atomic Energy Board,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_03,State Minister of Power and Energy,Minister of Power and Energy,LTL Holdings (Pvt.) Ltd.,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_04,State Minister of Power and Energy,Minister of Power and Energy,Lanka Electricity Company,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_05,State Minister of Power and Energy,Minister of Power and Energy,Lanka Coal Company (Pvt) Ltd,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_06,State Minister of Power and Energy,Minister of Power and Energy,Sri Lanka Sustainable Energy Authority,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_07,State Minister of Power and Energy,Minister of Power and Energy,Ceylon Electricity Board,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_08,State Minister of Power and Energy,Minister of Power and Energy,Petroleum Development Authority of Sri Lanka,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_09,State Minister of Power and Energy,Minister of Power and Energy,Trinco Petroleum Terminal (Pvt) Ltd.,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_10,State Minister of Power and Energy,Minister of Power and Energy,Ceylon Petroleum Storage Terminal Ltd.,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_11,State Minister of Power and Energy,Minister of Power and Energy,Ceylon Petroleum Corporation,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_12,State Minister of Small and Medium Enterprises Development,Minister of Industries,National Design Centre,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_13,State Minister of Small and Medium Enterprises Development,Minister of Industries,Sri Lanka Handicraft Board (Laksala),department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_14,State Minister of Small and Medium Enterprises Development,Minister of Industries,Lanka Salusala Ltd.,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_15,State Minister of Small and Medium Enterprises Development,Minister of Industries,Lanka Textile Mills Emporium Ltd.,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_16,State Minister of Small and Medium Enterprises Development,Minister of Industries,Sri Lanka Institute of Textile and Apparels,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_17,State Minister of Small and Medium Enterprises Development,Minister of Industries,Department of Textile Industries,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_18,State Minister of Small and Medium Enterprises Development,Minister of Industries,National Crafts Council,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_19,State Minister of Small and Medium Enterprises Development,Minister of Industries,Timber-related Design Centre,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_20,State Minister of Small and Medium Enterprises Development,Minister of Industries,SME Authority,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_21,State Minister of Small and Medium Enterprises Development,Minister of Industries,SME Venture Capital Company,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
2401-18_tr_22,State Minister of Small and Medium Enterprises Development,Minister of Industries,National Enterprise Development Authority,department,2024-09-10,Ranil Wickremesinghe,Ranil Wickremesinghe
