transaction_id,parent,parent_type,child,child_type,rel_type,date
2289-43_tr_01,Government of Sri Lanka,government,Minister of Defence,minister,AS_MINISTER,2022-07-22
2289-43_tr_02,Government of Sri Lanka,government,"Minister of Finance, Economic Stabilization and National Policies",minister,AS_MINISTER,2022-07-22
2289-43_tr_03,Government of Sri Lanka,government,Minister of Technology,minister,AS_MINISTER,2022-07-22
2289-43_tr_04,Government of Sri Lanka,government,"Minister of Women, Child Affairs and Social Empowerment",minister,AS_MINISTER,2022-07-22
2289-43_tr_05,Government of Sri Lanka,government,"Minister of Ports, Shipping and Aviation",minister,AS_MINISTER,2022-07-22
2289-43_tr_06,Government of Sri Lanka,government,Minister of Investment Promotion,minister,AS_MINISTER,2022-07-22
2289-43_tr_07,Government of Sri Lanka,government,"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",minister,AS_MINISTER,2022-07-22
2289-43_tr_08,Government of Sri Lanka,government,Minister of Fisheries,minister,AS_MINISTER,2022-07-22
2289-43_tr_09,Government of Sri Lanka,government,Minister of Education,minister,AS_MINISTER,2022-07-22
2289-43_tr_10,Government of Sri Lanka,government,Minister of Transport and Highways,minister,AS_MINISTER,2022-07-22
2289-43_tr_11,Government of Sri Lanka,government,Minister of Mass Media,minister,AS_MINISTER,2022-07-22
2289-43_tr_12,Government of Sri Lanka,government,Minister of Health,minister,AS_MINISTER,2022-07-22
2289-43_tr_13,Government of Sri Lanka,government,Minister of Water Supply,minister,AS_MINISTER,2022-07-22
2289-43_tr_14,Government of Sri Lanka,government,Minister of Agriculture,minister,AS_MINISTER,2022-07-22
2289-43_tr_15,Government of Sri Lanka,government,Minister of Wildlife and Forest Resources Conservation,minister,AS_MINISTER,2022-07-22
2289-43_tr_16,Government of Sri Lanka,government,"Minister of Justice, Prisons Affairs and Constitutional Reforms",minister,AS_MINISTER,2022-07-22
2289-43_tr_17,Government of Sri Lanka,government,Minister of Tourism and Lands,minister,AS_MINISTER,2022-07-22
2289-43_tr_18,Government of Sri Lanka,government,Minister of Plantation Industries,minister,AS_MINISTER,2022-07-22
2289-43_tr_19,Government of Sri Lanka,government,Minister of Industries,minister,AS_MINISTER,2022-07-22
2289-43_tr_20,Government of Sri Lanka,government,Minister of Urban Development and Housing,minister,AS_MINISTER,2022-07-22
2289-43_tr_21,Government of Sri Lanka,government,Minister of Foreign Affairs,minister,AS_MINISTER,2022-07-22
2289-43_tr_22,Government of Sri Lanka,government,"Minister of Buddhasasana, Religious and Cultural Affairs",minister,AS_MINISTER,2022-07-22
2289-43_tr_23,Government of Sri Lanka,government,Minister of Power and Energy,minister,AS_MINISTER,2022-07-22
2289-43_tr_24,Government of Sri Lanka,government,Minister of Environment,minister,AS_MINISTER,2022-07-22
2289-43_tr_25,Government of Sri Lanka,government,Minister of Sports and Youth Affairs,minister,AS_MINISTER,2022-07-22
2289-43_tr_26,Government of Sri Lanka,government,Minister of Irrigation,minister,AS_MINISTER,2022-07-22
2289-43_tr_27,Government of Sri Lanka,government,Minister of Labour and Foreign Employment,minister,AS_MINISTER,2022-07-22
2289-43_tr_28,Government of Sri Lanka,government,Minister of Public Security,minister,AS_MINISTER,2022-07-22
2289-43_tr_29,Government of Sri Lanka,government,"Minister of Trade, Commerce and Food Security",minister,AS_MINISTER,2022-07-22
2289-43_tr_30,Minister of Defence,minister,Office of the Chief of Defence Staff,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_31,Minister of Defence,minister,Sri Lanka Army,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_32,Minister of Defence,minister,Sri Lanka Navy,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_33,Minister of Defence,minister,Sri Lanka Air Force,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_34,Minister of Defence,minister,State Intelligence Service,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_35,Minister of Defence,minister,Civil Security Department,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_36,Minister of Defence,minister,Department of Multipurpose Development Task Force,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_37,Minister of Defence,minister,National Cadet Corps,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_38,Minister of Defence,minister,National Authority for the Implementation of Chemical Weapons Convention,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_39,Minister of Defence,minister,Sir John Kotelawala Defence University,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_40,Minister of Defence,minister,Defence Services Command and Staff College,department,AS_DEPARTMENT,2022-07-22
2289-43_tr_41,Minister of Defence,minister,Miloda Institute - as a Faculty of Kotelawala Defence University,department,AS_DEPARTMENT,2022-07-22
