transaction_id,old_parent,new_parent,child,type,date
2334-07_tr_01,Minister of Technology,"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Telecom and its Subsidiaries and Allied Institutions,department,2023-05-30
2334-07_tr_02,Minister of Investment Promotion,"Minister of Finance, Economic Stabilization and National Policies",Colombo Lotus Tower Management Company (Pvt.) Limited,department,2023-05-30
2334-07_tr_03,Minister of Fisheries,"Minister of Finance, Economic Stabilization and National Policies",North Sea Ltd.,department,2023-05-30
2334-07_tr_04,Minister of Health,"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Thriposha Co. Ltd.,department,2023-05-30
2334-07_tr_05,Minister of Plantation Industries,"Minister of Finance, Economic Stabilization and National Policies",Galoya Plantation (Pvt.) Company,department,2023-05-30
2334-07_tr_06,Minister of Industries,"Minister of Finance, Economic Stabilization and National Policies",National Salt Limited,department,2023-05-30
2334-07_tr_07,Minister of Industries,"Minister of Finance, Economic Stabilization and National Policies",Sri Lanka Cement Corporation,department,2023-05-30
2334-07_tr_08,Minister of Industries,"Minister of Finance, Economic Stabilization and National Policies",Paranthan Chemicals Ltd,department,2023-05-30
2334-07_tr_09,Minister of Industries,"Minister of Finance, Economic Stabilization and National Policies",BCC (Pvt.) Limited,department,2023-05-30
2334-07_tr_10,Minister of Urban Development and Housing,"Minister of Finance, Economic Stabilization and National Policies",State Engineering Corporation,department,2023-05-30
2334-07_tr_11,"Minister of Buddhasasana, Religious and Cultural Affairs","Minister of Finance, Economic Stabilization and National Policies",Mahinda Rajapaksa National Tele Cinema Park,department,2023-05-30
2334-07_tr_12,"Minister of Trade, Commerce and Food Security","Minister of Finance, Economic Stabilization and National Policies",Lanka General Trading Company Ltd,department,2023-05-30
