transaction_id,parent,parent_type,child,child_type,rel_type,date
2403-03-02_tr_58,Minister of Defence,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_59,"Minister of Finance, Economic Stabilization and National Policies",cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_60,Minister of Technology,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_61,"Minister of Women, Child Affairs and Social Empowerment",cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_62,"Minister of Ports, Shipping and Aviation",cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_63,Minister of Investment Promotion,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_64,"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_65,Minister of Fisheries,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_66,Minister of Education,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_67,Minister of Transport and Highways,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_68,Minister of Mass Media,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_69,Minister of Health,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_70,Minister of Water Supply and Estate Infrastructure Development,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_71,Minister of Agriculture and Plantation Industries,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
2403-03-02_tr_72,Minister of Wildlife and Forest Resources Conservation,cabinetMinister,Anura Kumara Dissanayake,citizen,AS_APPOINTED,2024-09-23
