transaction_id,parent,parent_type,child,child_type,role,date
2411-10_tr_23,"Minister of Agriculture, Livestock, Land and Irrigation",cabinetMinister,Anura Kumara Dissanayake,citizen,minister,2024-11-18
2411-10_tr_28,"Minister of Trade, Commerce, Food Security and Cooperative Development",cabinetMinister,Harini Amarasuriya,citizen,minister,2024-11-18
2411-10_tr_29,"Minister of Transport, Highways, Ports and Civil Aviation",cabinetMinister,Herath Mudiyanselage Vijitha Herath,citizen,minister,2024-11-18
2411-10_tr_30,Minister of Environment,cabinetMinister,Herath Mudiyanselage Vijitha Herath,citizen,minister,2024-11-18
2411-10_tr_31,Minister of Health and Mass Media,cabinetMinister,Harini Amarasuriya,citizen,minister,2024-11-18
2411-10_tr_32,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Herath Mudiyanselage Vijitha Herath,citizen,minister,2024-11-18
2411-10_tr_34,Minister of Justice and National Integration,cabinetMinister,Harini Amarasuriya,citizen,minister,2024-11-18
2411-10_tr_35,"Minister of Urban Development, Construction and Housing",cabinetMinister,Herath Mudiyanselage Vijitha Herath,citizen,minister,2024-11-18
2411-10_tr_36,Minister of Public Security and Parliamentary Affairs,cabinetMinister,Herath Mudiyanselage Vijitha Herath,citizen,minister,2024-11-18
2411-10_tr_37,Minister of Energy,cabinetMinister,Anura Kumara Dissanayake,citizen,minister,2024-11-18
2411-10_tr_38,Minister of Women and Child Affairs,cabinetMinister,Harini Amarasuriya,citizen,minister,2024-11-18
