transaction_id,parent,parent_type,child,child_type,role,date
2151-38_tr_01,Minister of Defence,cabinetMinister,Gotabaya Rajapaksa,citizen,minister,2019-11-27
2151-38_tr_02,"Minister of Finance, Economic and Policy Development",cabinetMinister,Mahinda Rajapaksa,citizen,minister,2019-11-27
2151-38_tr_03,"Minister of Buddhasasana, Cultural and Religious Affairs",cabinetMinister,Mahinda Rajapaksa,citizen,minister,2019-11-27
2151-38_tr_04,"Minister of Urban Development, Water Supply and Housing Facilities",cabinetMinister,Mahinda Rajapaksa,citizen,minister,2019-11-27
2151-38_tr_05,"Minister of Justice, Human Rights & Law Reforms",cabinetMinister,Nimal Siripala De Silva,citizen,minister,2019-11-27
2151-38_tr_06,Minister of Community Empowerment and Estate Infrastructure Development,cabinetMinister,Arumugan Thondaman,citizen,minister,2019-11-27
2151-38_tr_07,Minister of Foreign Relations,cabinetMinister,Dinesh Chandra Rupasingha Gunawardena,citizen,minister,2019-11-27
2151-38_tr_08,"Minister of Skills Development, Employment and Labour Relations",cabinetMinister,Dinesh Chandra Rupasingha Gunawardena,citizen,minister,2019-11-27
2151-38_tr_09,Minister of Fisheries & Aquatic Resources,cabinetMinister,Douglas Thevaanantha,citizen,minister,2019-11-27
2151-38_tr_10,Minister of Women & Child Affairs and Social Security,cabinetMinister,Pavithra Devi Vanniarachchi,citizen,minister,2019-11-27
2151-38_tr_11,Minister of Healthcare and Indigenous Medical Services,cabinetMinister,Pavithra Devi Vanniarachchi,citizen,minister,2019-11-27
2151-38_tr_12,Minister of Information and Communication Technology,cabinetMinister,Bandula Gunawardana,citizen,minister,2019-11-27
2151-38_tr_13,"Minister of Higher Education, Technology and Innovation",cabinetMinister,Bandula Gunawardana,citizen,minister,2019-11-27
2151-38_tr_14,"Minister of Public Administration, Home Affairs, Provincial Councils & Local Government",cabinetMinister,Janaka Bandara Thennakoon,citizen,minister,2019-11-27
2151-38_tr_15,"Minister of Mahaweli, Agriculture, Irrigation and Rural Development",cabinetMinister,Chamal Rajapaksa,citizen,minister,2019-11-27
2151-38_tr_16,"Minister of Internal Trade, Food Security and Consumer Welfare",cabinetMinister,Chamal Rajapaksa,citizen,minister,2019-11-27
2151-38_tr_17,Minister of Education,cabinetMinister,Dullas Alahapperuma,citizen,minister,2019-11-27
2151-38_tr_18,Minister of Sports and Youth Affairs,cabinetMinister,Dullas Alahapperuma,citizen,minister,2019-11-27
2151-38_tr_19,Minister of Roads and Highways,cabinetMinister,Johnston Fernando,citizen,minister,2019-11-27
2151-38_tr_20,Minister of Ports and Shipping,cabinetMinister,Johnston Fernando,citizen,minister,2019-11-27
2151-38_tr_21,Minister of Small & Medium Business and Enterprise Development,cabinetMinister,Wimal Weerawansa,citizen,minister,2019-11-27
2151-38_tr_22,Minister of Industries and Supply Chain Management,cabinetMinister,Wimal Weerawansa,citizen,minister,2019-11-27
2151-38_tr_23,Minister of Transport Services Management,cabinetMinister,Mahinda Amaraweera,citizen,minister,2019-11-27
2151-38_tr_24,Minister of Power & Energy,cabinetMinister,Mahinda Amaraweera,citizen,minister,2019-11-27
2151-38_tr_25,Minister of Environment and Wildlife Resources,cabinetMinister,S. M. Chandrasena,citizen,minister,2019-11-27
2151-38_tr_26,Minister of Lands & Land Development,cabinetMinister,S. M. Chandrasena,citizen,minister,2019-11-27
2151-38_tr_27,Minister of Plantation Industries and Export Agriculture,cabinetMinister,Ramesh Pathirana,citizen,minister,2019-11-27
2151-38_tr_28,Minister of Industrial Export and Investment Promotion,cabinetMinister,Prasanna Ranatunga,citizen,minister,2019-11-27
2151-38_tr_29,Minister of Tourism and Civil Aviation,cabinetMinister,Prasanna Ranatunga,citizen,minister,2019-11-27
