transaction_id,parent,parent_type,child,child_type,role,date
1932/69_tr_01,Minister of Irrigation and Water Resources Management,cabinetMinister,Gamini Vijith Vijayamuni Zoysa,person,minister,2015-09-18
2067/09_tr_19,Minister of Disaster Management,cabinetMinister,Ranjith Siyambalapitiya,person,minister,2018-04-19
2067/09_tr_19,Minister of Skills Development & Vocational Training,cabinetMinister,Sarath Amunugama,person,minister,2018-04-19
1932/69_tr_16,State Minister of Child Affairs,state_minister,Maheswaran Wijayakala,person,minister,2015-09-18
1897/16_tr_36,State Minister of Defence,state_minister,Dinedra Ruwan Wijewardana,person,minister,2015-01-18
1932/69_tr_04,State Minister of Highways,state_minister,Dilan Perera,person,minister,2015-09-18
1932/69_tr_10,State Minister of Education,state_minister,V Radhakrishnan,person,minister,2015-09-18
1938/14_tr_35,State Minister of Higher Education,state_minister,Mohan Lal Grero,person,minister,2015-09-18
1897/16_tr_35,State Minister of Higher Education,state_minister,Rajiva Wijesinghe,person,minister,2015-09-18
1918/09_tr_29,Deputy Minister of Agriculture,deputy_minister,Anoma Gamage,person,minister,2015-09-14
1932/69_tr_25,Deputy Minister of Housing and Construction,deputy_minister,Indika Bandaranayaka,person,minister,2015-09-18
1932/69_tr_43,Deputy Minister of Justice,deputy_minister,Sarathi Dushmantha,person,minister,2015-09-18
