transaction_id,parent,parent_type,child,child_type,role,date
2290-17_tr_01,"Minister of Public Administration, Home Affairs, Provincial Councils and Local Government",cabinetMinister,Dinesh Chandra Rupasingha Gunawardena,citizen,minister,2022-07-26
2290-17_tr_02,Minister of Fisheries,cabinetMinister,Douglas Devananda,citizen,minister,2022-07-26
2290-17_tr_03,Minister of Education,cabinetMinister,Achchige Don Susil Premajayanth,citizen,minister,2022-07-26
2290-17_tr_04,Minister of Transport and Highways,cabinetMinister,Bandula Gunawardena,citizen,minister,2022-07-26
2290-17_tr_05,Minister of Mass Media,cabinetMinister,Bandula Gunawardena,citizen,minister,2022-07-26
2290-17_tr_06,Minister of Health,cabinetMinister,Keheliya Rambukwella,citizen,minister,2022-07-26
2290-17_tr_07,Minister of Water Supply,cabinetMinister,Keheliya Rambukwella,citizen,minister,2022-07-26
2290-17_tr_08,Minister of Agriculture,cabinetMinister,Mahinda Amaraweera,citizen,minister,2022-07-26
2290-17_tr_09,Minister of Wildlife and Forest Resources Conservation,cabinetMinister,Mahinda Amaraweera,citizen,minister,2022-07-26
2290-17_tr_10,"Minister of Justice, Prisons Affairs and Constitutional Reforms",cabinetMinister,Wijayadasa Rajapaksha,citizen,minister,2022-07-26
2290-17_tr_11,Minister of Tourism and Lands,cabinetMinister,Nalaka Jude Hareen Fernando,citizen,minister,2022-07-26
2290-17_tr_12,Minister of Plantation Industries,cabinetMinister,Ramesh Pathirana,citizen,minister,2022-07-26
2290-17_tr_13,Minister of Industries,cabinetMinister,Ramesh Pathirana,citizen,minister,2022-07-26
2290-17_tr_14,Minister of Urban Development and Housing,cabinetMinister,Prasanna Ranatunga,citizen,minister,2022-07-26
2290-17_tr_15,Minister of Foreign Affairs,cabinetMinister,M U M Ali Sabri,citizen,minister,2022-07-26
2290-17_tr_16,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Vidura Wickramanayaka,citizen,minister,2022-07-26
2290-17_tr_17,Minister of Power and Energy,cabinetMinister,Kanchana Wijesekera,citizen,minister,2022-07-26
2290-17_tr_18,Minister of Environment,cabinetMinister,Ahamed Zenulabdeen Naseer,citizen,minister,2022-07-26
2290-17_tr_19,Minister of Sports and Youth Affairs,cabinetMinister,Anuruddha Ranasinghe Arachchige Roshan,citizen,minister,2022-07-26
2290-17_tr_20,Minister of Irrigation,cabinetMinister,Anuruddha Ranasinghe Arachchige Roshan,citizen,minister,2022-07-26
2290-17_tr_21,Minister of Labour and Foreign Employment,cabinetMinister,Maligaspe Koralege Nalin Manusha Nanayakkara,citizen,minister,2022-07-26
2290-17_tr_22,Minister of Public Security,cabinetMinister,Tiran Alles,citizen,minister,2022-07-26
2290-17_tr_23,"Minister of Trade, Commerce and Food Security",cabinetMinister,Kachchakaduge Nalin Ruwanjiwa Fernando,citizen,minister,2022-07-26
2290-17_tr_24,Minister of Defence,cabinetMinister,Ranil Wickremesinghe,citizen,minister,2022-07-26
2290-17_tr_25,Government of Sri Lanka,government,Dinesh Chandra Rupasingha Gunawardena,citizen,prime_minister,2022-07-26
