transaction_id,parent,parent_type,child,child_type,rel_type,role,date
2413-25-1_tr_12,"Minister of Finance, Planning and Economic Development",cabinetMinister,K.M.M.Siriwardana,citizen,AS_APPOINTED,secretary,2024-11-18
2413-25-1_tr_13,"Minister of Foreign Affairs, Foreign Employment and Tourism",cabinetMinister,Aruni Wijewardana,citizen,AS_APPOINTED,secretary,2024-11-18
2413-25-1_tr_14,"Minister of Education, Higher Education and Vocational Education",cabinetMinister,J.M.T.Jayasundara,citizen,AS_APPOINTED,secretary,2024-11-18
2413-25-1_tr_15,Minister of Women and Child Affairs,cabinetMinister,K.Mahesan,citizen,AS_APPOINTED,secretary,2024-11-18
2413-25-1_tr_16,"Minister of Trade, Commerce, Food Security and Cooperative Development",cabinetMinister,M.M.Nayeemudeen,citizen,AS_APPOINTED,secretary,2024-11-18
2413-25-1_tr_17,"Minister of Urban Development, Construction and Housing",cabinetMinister,A.M.P.M.B.Atapattu,citizen,AS_APPOINTED,secretary,2024-11-18
2413-25-1_tr_18,Minister of Health and Mass Media,cabinetMinister,Palitha Gunarathna Mahipala,citizen,AS_APPOINTED,secretary,2024-11-18
2413-25-1_tr_19,Minister of Environment,cabinetMinister,B.K.Prabath Chandrakeerthi,citizen,AS_APPOINTED,secretary,2024-11-18
2413-25-1_tr_20,"Minister of Agriculture, Livestock, Land and Irrigation",cabinetMinister,M.P.N.M.Wickramasinghe,citizen,AS_APPOINTED,secretary,2024-11-18
2413-25-1_tr_21,"Minister of Buddhasasana, Religious and Cultural Affairs",cabinetMinister,Ranjith Ariyaratne,citizen,AS_APPOINTED,secretary,2024-11-18
